set_num,name,year,num_parts,theme
7660-1,Naboo N-1 Starfighter and Vulture Droid,2007,279,Star Wars
7657-1,AT-ST,2007,243,Star Wars
7656-1,General Grievous Starfighter,2007,232,Star Wars
7655-1,Clone Troopers Battle Pack,2007,58,Star Wars
7654-1,Droids Battle Pack,2007,102,Star Wars
7661-1,Jedi Starfighter with Hyperdrive Booster Ring,2007,575,Star Wars
4521221-1,Gold chrome plated C-3PO,2007,3,Star Wars
7659-1,Imperial Landing Craft,2007,471,Star Wars
7666-1,Hoth Rebel Base [Limited Edition - with K-3PO],2007,557,Star Wars
7665-1,Republic Cruiser (Limited Edition - with R2-R7),2007,919,Star Wars
7664-1,TIE Crawler,2007,546,Star Wars
7663-1,Sith Infiltrator,2007,310,Star Wars
7662-1,Trade Federation MTT,2007,1326,Star Wars
66221-1,X-wing Fighter and Luke Pilot Maquette Co-Pack,2007,0,Star Wars
7658-1,Y-wing Fighter,2007,454,Star Wars
